2/19/2010,Shutter Island,80000000,128012934
12/12/2003,Something's Gotta Give,80000000,124685242
11/26/2008,Four Christmases,80000000,120146040
9/25/2015,Hotel Transylvania 2,80000000,116942033
6/27/1997,Face/Off,80000000,112273211
12/25/2008,Bedtime Stories,80000000,110101975
7/12/2002,The Road to Perdition,80000000,104054514
2/11/2011,Just Go With It,80000000,103028109
2/14/2003,Daredevil,80000000,102543518
9/26/2008,Eagle Eye,80000000,101440743
6/6/1997,Con Air,80000000,101087161
12/17/2010,Yogi Bear,80000000,100246011
12/25/2003,Cold Mountain,80000000,95632614
1/15/2010,The Book of Eli,80000000,94835059
11/26/1997,Flubber,80000000,92969824
7/23/1999,The Haunting,80000000,91188905
11/15/1996,Space Jam,80000000,90443603
10/17/2014,Fury,80000000,85755593
2/10/2006,The Pink Panther,80000000,82226474
7/8/2011,Zookeeper,80000000,80360866
12/12/2008,The Day the Earth Stood Still,80000000,79366978
8/8/1997,Conspiracy Theory,80000000,76081498
6/12/1998,Six Days Seven Nights,80000000,74292149
5/24/2002,Spirit: Stallion of the Cimarron,80000000,73215310
6/8/2001,Swordfish,80000000,69772969
4/3/1998,Lost In Space,80000000,69102910
7/30/2004,The Manchurian Candidate,80000000,65948711
11/22/2006,Déjà Vu,80000000,64038616
6/24/2005,Bewitched,80000000,62252415
1/1/2000,Fantasia 2000 (IMAX),80000000,60507228
3/8/2002,The Time Machine,80000000,56684819
10/2/1998,What Dreams May Come,80000000,55350897
12/25/1998,Mighty Joe Young,80000000,50628009
10/28/2005,The Legend of Zorro,80000000,45356386
11/10/2000,Little Nicky,80000000,39442871
9/25/2009,Surrogates,80000000,38577772
6/8/2001,Evolution,80000000,38311134
8/26/2005,The Brothers Grimm,80000000,37899638
12/13/1996,Mars Attacks!,80000000,37754208
4/14/2006,The Wild,80000000,37384046
12/20/2013,Walking with Dinosaurs,80000000,36076121
12/22/2000,Thirteen Days,80000000,34566746
12/6/1996,Daylight,80000000,32885565
2/21/2014,Pompeii,80000000,23169033
5/12/2000,Battlefield Earth: A Saga of the Year 3000,80000000,21471685
11/14/2003,Looney Tunes: Back in Action,80000000,20950820
12/18/2009,Nine,80000000,19676965
11/26/2003,Timeline,80000000,19480739
4/22/2010,Oceans,80000000,19422319
11/25/1998,Babe: Pig in the City,80000000,18318000
12/25/1997,The Postman,80000000,17593391
11/10/2000,Red Planet,80000000,17480890
12/15/2006,Arthur et les Minimoys,80000000,15132763
8/17/2007,The Invasion,80000000,15074191
6/16/2000,Fantasia 2000 (Theatrical Release),80000000,9103630
9/2/2005,A Sound of Thunder,80000000,1900451
